Id_Encuesta,eval_gob_1,eval_act_pol_1_p,eval_act_pol_1_fh,eval_act_pol_1_dv,eval_act_pol_1_co,eval_act_pol_1_ca,eval_act_pol_1_ae,eval_act_pol_1_er,eval_act_pol_1_gt,eval_act_pol_17,eval_act_pol_18,pp_congreso_61_b
692,3,1.0,,,,2.0,,,,,,
693,2,2.0,,,,2.0,,,,,,
694,1,2.0,,,,4.0,,,,,,
695,1,2.0,,,,5.0,,,,,,
696,1,2.0,,,,5.0,,,,,,
697,1,4.0,,,,4.0,,,,,,
698,1,3.0,,,,3.0,,,,,,
699,2,4.0,,,,2.0,,,,,,
700,1,4.0,,,,4.0,,,,,,
701,8,3.0,,,,3.0,,,,,,
702,2,4.0,,,,2.0,,,,,,
703,2,4.0,,,,4.0,,,,,,
704,1,3.0,,,,4.0,,,,,,
705,3,3.0,,,,4.0,,,,,,
706,1,3.0,,,,4.0,,,,,,
707,1,3.0,,,,4.0,,,,,,
708,2,4.0,,,,3.0,,,,,,
709,1,3.0,,,,3.0,,,,,,
710,2,2.0,,,,3.0,,,,,,
711,1,2.0,,,,3.0,,,,,,
712,2,2.0,,,,3.0,,,,,,
713,1,2.0,,,,4.0,,,,,,
714,1,4.0,,,,4.0,,,,,,
715,1,2.0,,,,4.0,,,,,,
716,2,2.0,,,,2.0,,,,,,
717,1,2.0,,,,2.0,,,,,,
718,2,5.0,,,,4.0,,,,,,
719,9,3.0,,,,3.0,,,,,,
720,1,1.0,,,,5.0,,,,,,
721,3,2.0,,,,2.0,,,,,,
722,3,2.0,,,,5.0,,,,,,
723,1,4.0,,,,5.0,,,,,,
724,1,1.0,,,,4.0,,,,,,
725,1,2.0,,,,4.0,,,,,,
726,3,1.0,,,,4.0,,,,,,
727,8,4.0,,,,4.0,,,,,,
728,8,2.0,,,,9.0,,,,,,
730,3,4.0,,,,3.0,,,,,,
732,1,4.0,,,,4.0,,,,,,
734,1,4.0,,,,4.0,,,,,,
735,1,2.0,,,,4.0,,,,,,
736,2,9.0,,,,9.0,,,,,,
738,2,1.0,,,,1.0,,,,,,
739,1,5.0,,,,4.0,,,,,,
740,1,4.0,,,,4.0,,,,,,
741,2,4.0,,,,2.0,,,,,,
742,2,4.0,,,,4.0,,,,,,
743,1,5.0,,,,4.0,,,,,,
744,1,4.0,,,,4.0,,,,,,
746,1,2.0,,,,4.0,,,,,,
747,1,4.0,,,,5.0,,,,,,
748,8,2.0,,,,4.0,,,,,,
749,1,3.0,,,,4.0,,,,,,
750,1,4.0,,,,5.0,,,,,,
751,1,3.0,,,,4.0,,,,,,
752,2,4.0,,,,4.0,,,,,,
753,1,4.0,,,,4.0,,,,,,
754,1,5.0,,,,4.0,,,,,,
755,1,4.0,,,,4.0,,,,,,
756,3,4.0,,,,3.0,,,,,,
757,2,4.0,,,,3.0,,,,,,
758,1,3.0,,,,4.0,,,,,,
760,2,2.0,,,,4.0,,,,,,
761,1,3.0,,,,4.0,,,,,,
762,1,4.0,,,,5.0,,,,,,
763,8,3.0,,,,4.0,,,,,,
764,1,4.0,,,,4.0,,,,,,
765,1,4.0,,,,5.0,,,,,,
766,3,4.0,,,,4.0,,,,,,
767,1,2.0,,,,3.0,,,,,,
768,1,4.0,,,,4.0,,,,,,
769,3,3.0,,,,4.0,,,,,,
770,1,4.0,,,,4.0,,,,,,
773,2,4.0,,,,3.0,,,,,,
